Bay,y_start[m],y_end[m],spacing[mm],y_mid[m],chord_mid[mm],h_box_mid[mm],A_m_mid[mm2],V_mid[N],M_mid[N.m],T_mid[N.m],tau_skin[MPa],sigma_comp[MPa],tau_allow[MPa],sigma_allow[MPa],tau_cr[MPa],sigma_cr[MPa],R_combined,MoS_shear_allow,MoS_shear_buckle,MoS_comp_allow,MoS_comp_buckle,sigma_vm_FS[MPa],sigma_vm_RS[MPa],pass_shear_buckle,pass_comp_buckle,pass_combined,pass_shear_allow,pass_comp_allow,pass_all
1,0.000000,0.216458,216.46,0.108229,822.37,139.80,23006.60,622.92,776.7697,-19.4093,0.3556,28.5567,30.0000,50.0000,0.5428,0.4066,70.666317,84.3740,1.5265,1.7509,0.0142,173.5929,145.6483,True,True,True,True,True,True
2,0.216458,0.432917,216.46,0.324688,783.79,133.24,20899.98,568.75,647.7967,-17.1741,0.3471,26.2677,30.0000,50.0000,0.5428,0.4066,65.015976,86.4366,1.5639,1.9035,0.0155,161.6509,131.8807,True,True,True,True,True,True
3,0.432917,0.649375,216.46,0.541146,745.22,126.69,18894.55,514.58,530.5484,-15.0435,0.3372,23.8578,30.0000,50.0000,0.5428,0.4066,59.065708,88.9641,1.6096,2.0958,0.0170,149.2834,118.4698,True,True,True,True,True,True
4,0.649375,0.865833,216.46,0.757604,706.64,120.13,16990.31,460.42,425.0250,-13.0173,0.3257,21.3273,30.0000,50.0000,0.5428,0.4066,52.816016,92.1171,1.6666,2.3444,0.0191,136.2510,105.3024,True,True,True,True,True,True
5,0.865833,1.082292,216.46,0.974063,668.07,113.57,15187.27,406.25,331.2263,-11.0956,0.3121,18.6816,30.0000,50.0000,0.5428,0.4066,46.279227,96.1379,1.7394,2.6764,0.0218,122.3034,92.2499,True,True,True,True,True,True
6,1.082292,1.298750,216.46,1.190521,629.49,107.01,13485.41,352.08,249.1526,-9.2784,0.2958,15.9334,30.0000,50.0000,0.5428,0.4066,39.486427,101.4081,1.8347,3.1381,0.0255,107.2034,79.1794,True,True,True,True,True,True
7,1.298750,1.515208,216.46,1.406979,590.91,100.46,11884.75,297.92,178.8036,-7.5656,0.2763,13.1076,30.0000,50.0000,0.5428,0.4066,32.498097,108.5655,1.9642,3.8146,0.0310,90.7713,65.9758,True,True,True,True,True,True
8,1.515208,1.731667,216.46,1.623438,552.34,93.90,10385.28,243.75,120.1795,-5.9574,0.2526,10.2473,30.0000,50.0000,0.5428,0.4066,25.420392,118.7608,2.1487,4.8794,0.0397,72.9698,52.5868,True,True,True,True,True,True
9,1.731667,1.948125,216.46,1.839896,513.76,87.34,8987.00,189.58,73.2802,-4.4536,0.2234,7.4243,30.0000,50.0000,0.5428,0.4066,18.430002,134.2987,2.4298,6.7346,0.0548,54.0596,39.1039,True,True,True,True,True,True
10,1.948125,2.164583,216.46,2.056354,475.19,80.78,7689.91,135.42,38.1057,-3.0543,0.1868,4.7542,30.0000,50.0000,0.5428,0.4066,11.811797,160.5631,2.9050,10.5170,0.0855,34.8801,25.9014,True,True,True,True,True,True
11,2.164583,2.381042,216.46,2.272812,436.61,74.22,6494.01,81.25,14.6560,-1.7594,0.1404,2.4182,30.0000,50.0000,0.5428,0.4066,6.014709,213.7164,3.8667,20.6762,0.1681,17.3290,13.8293,True,True,True,True,True,True
12,2.381042,2.597500,216.46,2.489271,398.03,67.67,5399.31,27.08,2.9312,-0.5691,0.0801,0.6950,30.0000,50.0000,0.5428,0.4066,1.731184,374.5973,6.7774,71.9418,0.5850,4.6413,4.1093,True,True,True,True,True,True